,DOI,Sample_ID,Location,Countries,Source,Concentration,Concentration_Units,Approximate_Latitude,Approximate_Longitude,Sample_device_and_deployment_methods,Digestion,Filtration,Filter_Size,Microplastic_Identification_Method,Spectral_Analysis,Controls
0,10.1016/j.watres.2017.11.011,1|10.1016/j.watres.2017.11.011,Germany,Germany,bottled water,14,particles/L,51.1638175,10.4478313,Pre packaged bevarage cartons,Not Provided,polycarbonate filter,3 um,"Single Particle Explorer (SPE, rapID, Berlin)",Raman,Blank filters run through Raman
1,10.1016/j.watres.2017.11.011,2|10.1016/j.watres.2017.11.011,Germany,Germany,bottled water,118,particles/L,51.1638175,10.4478313,Pre packaged bevarage cartons,Not Provided,polycarbonate filter,3 um,"Single Particle Explorer (SPE, rapID, Berlin)",Raman,Blank filters run through Raman
2,10.1016/j.watres.2017.11.011,3|10.1016/j.watres.2017.11.011,Germany,Germany,bottled water,50,particles/L,51.1638175,10.4478313,Pre packaged bevarage cartons,Not Provided,polycarbonate filter,3 um,"Single Particle Explorer (SPE, rapID, Berlin)",Raman,Blank filters run through Raman
3,10.1016/j.watres.2017.11.011,4|10.1016/j.watres.2017.11.011,Germany,Germany,bottled water,11,particles/L,51.1638175,10.4478313,Pre packaged bevarage cartons,Not Provided,polycarbonate filter,3 um,"Single Particle Explorer (SPE, rapID, Berlin)",Raman,Blank filters run through Raman
4,10.1039/c6ay01184e,1|10.1039/c6ay01184e,Germany,Germany,bottled water,19-Oct,particles/0.33 L,51.1638175,10.4478313,Pre packaged bevarage cartons,Not Provided,Cellulose nitrate,0.45 um,Raman scattering spectroscopy,Raman,Already analyzes sample filtered a second time and analyzed again; additional moistened filter placed in laminar flow box during filtration
5,10.1039/c6ay01184e,2|10.1039/c6ay01184e,Germany,Germany,bottled water,1,particles/0.33 L,51.1638175,10.4478313,Pre packaged bevarage cartons,Not Provided,Cellulose nitrate,0.45 um,Raman scattering spectroscopy,Raman,Already analyzes sample filtered a second time and analyzed again; additional moistened filter placed in laminar flow box during filtration
6,10.3389/fchem.2018.00407,IB|101119.10.3389/fchem.2018.00407,"Jakarta, Indonesia",Indonesia,bottled water,37.1,particles/L,-2.4833826,117.8902853,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
7,10.3389/fchem.2018.00407,BB 311019 08: 11 PSRL6|10.3389/fchem.2018.00407,"Bali, Indonesia",Indonesia,bottled water,705,particles/L,-2.4833826,117.8902853,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
8,10.3389/fchem.2018.00407,BB 311019 09: 50 STB1|10.3389/fchem.2018.00407,"Medan, Indonesia",Indonesia,bottled water,404,particles/L,-2.4833826,117.8902853,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
9,10.3389/fchem.2018.00407,Oct0719|10.3389/fchem.2018.00407,,,bottled water,252,particles/L,,,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
10,10.3389/fchem.2018.00407,BN7141A04117|10.3389/fchem.2018.00407,"Chennai, India",India,bottled water,174,particles/L,22.3511148,78.6677428,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
11,10.3389/fchem.2018.00407,HE.B.No 229 (BM/AS)|10.3389/fchem.2018.00407,"Chennai, India",India,bottled water,826,particles/L,22.3511148,78.6677428,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
12,10.3389/fchem.2018.00407,MU.N.No.298 (MA/AD)|10.3389/fchem.2018.00407,"Mumbai, India",India,bottled water,213,particles/L,22.3511148,78.6677428,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
13,10.3389/fchem.2018.00407,SO.B No.087 (AS/LB)|10.3389/fchem.2018.00407,"New Delhi, India",India,bottled water,3.72,particles/L,22.3511148,78.6677428,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
14,10.3389/fchem.2018.00407,Oct 0118NHBRB|10.3389/fchem.2018.00407,,,bottled water,165,particles/L,,,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
15,10.3389/fchem.2018.00407,P18NOV17CG3|10.3389/fchem.2018.00407,"Nairobi, Kenya",Kenya,bottled water,74.6,particles/L,1.4419683,38.4313975,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
16,10.3389/fchem.2018.00407,17.11.18|10.3389/fchem.2018.00407,"Mexico City, Mexico",Mexico,bottled water,686,particles/L,23.6585116,-102.0077097,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
17,10.3389/fchem.2018.00407,14.10.18|10.3389/fchem.2018.00407,"Tijuana, Mexico",Mexico,bottled water,20,particles/L,23.6585116,-102.0077097,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
18,10.3389/fchem.2018.00407,09.08.18|10.3389/fchem.2018.00407,"Reynosa, Mexico",Mexico,bottled water,37.3,particles/L,23.6585116,-102.0077097,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
19,10.3389/fchem.2018.00407,PRD 03 21 2017 14:02|10.3389/fchem.2018.00407,,,bottled water,197,particles/L,,,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
20,10.3389/fchem.2018.00407,PRD 05 24 17 11:29|10.3389/fchem.2018.00407,"Fredonia, NY, USA",USA,bottled water,58.2,particles/L,39.7837304,-100.445882,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
21,10.3389/fchem.2018.00407,07.142018 2|10.3389/fchem.2018.00407,"Fredonia, NY, USA",USA,bottled water,1410,particles/L,39.7837304,-100.445882,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
22,10.3389/fchem.2018.00407,NV No. AC-51-07269|10.3389/fchem.2018.00407,,,bottled water,204,particles/L,,,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
23,10.3389/fchem.2018.00407,FAB: 211017 09:06SP|10.3389/fchem.2018.00407,"Sao Paulo, Brazil",Brazil,bottled water,40.1,particles/L,-10.3333333,-53.2,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
24,10.3389/fchem.2018.00407,FAB: 160817 15:05SP|10.3389/fchem.2018.00407,"Aparecida de Goiania, Brazil",Brazil,bottled water,12.5,particles/L,-10.3333333,-53.2,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
25,10.3389/fchem.2018.00407,FAB: 091217 16:53SP|10.3389/fchem.2018.00407,"Rio de Janerio, Brazil",Brazil,bottled water,150,particles/L,-10.3333333,-53.2,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
26,10.3389/fchem.2018.00407,100517 278WF246|10.3389/fchem.2018.00407,,,bottled water,2277,particles/L,,,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
27,10.3389/fchem.2018.00407,P: 4/11/17 03:34 AZ|10.3389/fchem.2018.00407,"Beirut, Lebanon",Lebanon,bottled water,49.3,particles/L,33.8750629,35.843409,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
28,10.3389/fchem.2018.00407,730805210A 23:28|10.3389/fchem.2018.00407,"Bangkok, Thailand",Thailand,bottled water,468,particles/L,14.8971921,100.83273,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
29,10.3389/fchem.2018.00407,BBE 11.2018 10|10.3389/fchem.2018.00407,,,bottled water,30.3,particles/L,,,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
30,10.3389/fchem.2018.00407,20171102 1214JN|10.3389/fchem.2018.00407,"Jinan, China",China,bottled water,156,particles/L,35.000074,104.999927,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
31,10.3389/fchem.2018.00407,20171021 3214GH|10.3389/fchem.2018.00407,"Beijing, China",China,bottled water,66.7,particles/L,35.000074,104.999927,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
32,10.3389/fchem.2018.00407,20171103 2106WF|10.3389/fchem.2018.00407,"Qingdao, China",China,bottled water,67.1,particles/L,35.000074,104.999927,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
33,10.1371/journal.pone.0194970,Tap Water_Cuba|10.1371/journal.pone.0194970,"Havana, Cuba",Cuba,tap water,7.17,particles/L,23.0131338,-80.8328748,"Tap water, beer",Not Provided,Whatman cellulose fiber,2.5 um,Rose Bengal stain; visual,FTIR,DI procedural blanks
34,10.1371/journal.pone.0194970,Tap Water_Ecuador|10.1371/journal.pone.0194970,"Quito, Ecuador",Ecuador,tap water,4.02,particles/L,-1.3397668,-79.3666965,"Tap water, beer",Not Provided,Whatman cellulose fiber,2.5 um,Rose Bengal stain; visual,FTIR,DI procedural blanks
35,10.1371/journal.pone.0194970,Tap Water_England|10.1371/journal.pone.0194970,"London, England",England,tap water,7.73,particles/L,,,"Tap water, beer",Not Provided,Whatman cellulose fiber,2.5 um,Rose Bengal stain; visual,FTIR,DI procedural blanks
36,10.1371/journal.pone.0194970,Tap Water_France|10.1371/journal.pone.0194970,"Paris, France",France,tap water,1.82,particles/L,46.603354,1.8883335,"Tap water, beer",Not Provided,Whatman cellulose fiber,2.5 um,Rose Bengal stain; visual,FTIR,DI procedural blanks
37,10.1371/journal.pone.0194970,Tap Water_Germany|10.1371/journal.pone.0194970,"Berlin, Germany; Tubingen, Germany",Germany,tap water,0.91,particles/L,51.1638175,10.4478313,"Tap water, beer",Not Provided,Whatman cellulose fiber,2.5 um,Rose Bengal stain; visual,FTIR,DI procedural blanks
38,10.1371/journal.pone.0194970,Tap Water_India|10.1371/journal.pone.0194970,"Ner Delhi, India",India,tap water,6.24,particles/L,22.3511148,78.6677428,"Tap water, beer",Not Provided,Whatman cellulose fiber,2.5 um,Rose Bengal stain; visual,FTIR,DI procedural blanks
39,10.1371/journal.pone.0194970,Tap Water_Indonesia|10.1371/journal.pone.0194970,"Depok City, Indonesia; Desa Puspanegara, Indonesia; Jakarta, Indonesia; Jatirahayu, Indonesia; Kedaung, Indonesia; Menteng, Indonesia; North Paninggilan, Indonesia; Pasireurih, Indonesia; South Tangerang City, Indonesia; Sukatani, Indonesia; Teluknaga, Indonesia; Warnasari, Indonesia",Indonesia,tap water,3.23,particles/L,-2.4833826,117.8902853,"Tap water, beer",Not Provided,Whatman cellulose fiber,2.5 um,Rose Bengal stain; visual,FTIR,DI procedural blanks
40,10.1371/journal.pone.0194970,Tap Water_Ireland|10.1371/journal.pone.0194970,"Dublin, Ireland",Ireland,tap water,1.83,particles/L,52.865196,-7.9794599,"Tap water, beer",Not Provided,Whatman cellulose fiber,2.5 um,Rose Bengal stain; visual,FTIR,DI procedural blanks
41,10.1371/journal.pone.0194970,Tap Water_Italy|10.1371/journal.pone.0194970,"Pavia, Italy",Italy,tap water,0,particles/L,42.6384261,12.674297,"Tap water, beer",Not Provided,Whatman cellulose fiber,2.5 um,Rose Bengal stain; visual,FTIR,DI procedural blanks
42,10.1371/journal.pone.0194970,Tap Water_Lebanon|10.1371/journal.pone.0194970,"Beirut, Lebanon; Burj el Brajneh, Lebanon; Choueifat, Lebanon; Ghobayreh, Lebanon; Khaldeh, Lebanon; Mreijeh, Lebanon",Lebanon,tap water,6.64,particles/L,33.8750629,35.843409,"Tap water, beer",Not Provided,Whatman cellulose fiber,2.5 um,Rose Bengal stain; visual,FTIR,DI procedural blanks
43,10.1371/journal.pone.0194970,Tap Water_Slovakia|10.1371/journal.pone.0194970,"Brezova pod Bradlom, Slovakia; Kocvce, Slovakia; Piestany, Slovakia; Poprad, Slovakia; Prasnik, Slovakia; Radosina, Slovakia; Ruzomberok, Slovakia",Slovakia,tap water,3.83,particles/L,48.7411522,19.4528646,"Tap water, beer",Not Provided,Whatman cellulose fiber,2.5 um,Rose Bengal stain; visual,FTIR,DI procedural blanks
44,10.1371/journal.pone.0194970,Tap Water_Switzerland|10.1371/journal.pone.0194970,"Davos Platz, Switzerland; Gerbertingen, Switzerland",Switzerland,tap water,2.74,particles/L,46.7985624,8.2319736,"Tap water, beer",Not Provided,Whatman cellulose fiber,2.5 um,Rose Bengal stain; visual,FTIR,DI procedural blanks
45,10.1371/journal.pone.0194970,Tap Water_Uganda|10.1371/journal.pone.0194970,"Jinja, Uganda; Kampala, Uganda",Uganda,tap water,3.92,particles/L,1.5333554,32.2166578,"Tap water, beer",Not Provided,Whatman cellulose fiber,2.5 um,Rose Bengal stain; visual,FTIR,DI procedural blanks
46,10.1371/journal.pone.0194970,Tap Water_USA|10.1371/journal.pone.0194970,"Alpena, USA; Buffalo, USA; Chicago, USA; Clayton, USA; Duluth, USA; Glenview, USA; Holland, USA; Lawrence, USA; Los Angeles, USA; Louisville, USA; Mahopack, USA; Middle Village, USA; New York City, USA; Overland Park, USA; Palmetto Bay, USA; Pinebluff, USA; Spring, USA; Washington DC, USA; Wauwatosa, USA",USA,tap water,9.24,particles/L,39.7837304,-100.445882,"Tap water, beer",Not Provided,Whatman cellulose fiber,2.5 um,Rose Bengal stain; visual,FTIR,DI procedural blanks
47,10.1371/journal.pone.0194970,Bottled Water|10.1371/journal.pone.0194970,USA,USA,bottled water,3.57,particles/L,39.7837304,-100.445882,"Tap water, beer",Not Provided,Whatman cellulose fiber,2.5 um,Rose Bengal stain; visual,FTIR,DI procedural blanks
48,10.1371/journal.pone.0194970,Lake Superior 1|10.1371/journal.pone.0194970,Lake Superior,USA,bottled water,0.67,particles/L,39.7837304,-100.445882,"Tap water, beer",Not Provided,Whatman cellulose fiber,2.5 um,Rose Bengal stain; visual,FTIR,DI procedural blanks
49,10.1371/journal.pone.0194970,Lake Superior 2|10.1371/journal.pone.0194970,Lake Superior,USA,bottled water,4.33,particles/L,39.7837304,-100.445882,"Tap water, beer",Not Provided,Whatman cellulose fiber,2.5 um,Rose Bengal stain; visual,FTIR,DI procedural blanks
50,10.1371/journal.pone.0194970,Lake Superior 3|10.1371/journal.pone.0194970,Lake Superior,USA,bottled water,3.33,particles/L,39.7837304,-100.445882,"Tap water, beer",Not Provided,Whatman cellulose fiber,2.5 um,Rose Bengal stain; visual,FTIR,DI procedural blanks
51,10.1371/journal.pone.0194970,Lake Michigan 1|10.1371/journal.pone.0194970,Lake Michigan,USA,bottled water,1.33,particles/L,39.7837304,-100.445882,"Tap water, beer",Not Provided,Whatman cellulose fiber,2.5 um,Rose Bengal stain; visual,FTIR,DI procedural blanks
52,10.1371/journal.pone.0194970,Lake Michigan 2|10.1371/journal.pone.0194970,Lake Michigan,USA,bottled water,0,particles/L,39.7837304,-100.445882,"Tap water, beer",Not Provided,Whatman cellulose fiber,2.5 um,Rose Bengal stain; visual,FTIR,DI procedural blanks
53,10.1371/journal.pone.0194970,Lake Michigan 3|10.1371/journal.pone.0194970,Lake Michigan,USA,bottled water,14.3,particles/L,39.7837304,-100.445882,"Tap water, beer",Not Provided,Whatman cellulose fiber,2.5 um,Rose Bengal stain; visual,FTIR,DI procedural blanks
54,10.1371/journal.pone.0194970,Lake Michigan 4|10.1371/journal.pone.0194970,Lake Michigan,USA,bottled water,2.33,particles/L,39.7837304,-100.445882,"Tap water, beer",Not Provided,Whatman cellulose fiber,2.5 um,Rose Bengal stain; visual,FTIR,DI procedural blanks
55,10.1371/journal.pone.0194970,Lake Huron 1|10.1371/journal.pone.0194970,Lake Huron,USA,bottled water,1.33,particles/L,39.7837304,-100.445882,"Tap water, beer",Not Provided,Whatman cellulose fiber,2.5 um,Rose Bengal stain; visual,FTIR,DI procedural blanks
56,10.1371/journal.pone.0194970,Lake Erie 1|10.1371/journal.pone.0194970,Lake Erie,USA,bottled water,2,particles/L,39.7837304,-100.445882,"Tap water, beer",Not Provided,Whatman cellulose fiber,2.5 um,Rose Bengal stain; visual,FTIR,DI procedural blanks
57,10.1371/journal.pone.0194970,Lake Erie 2|10.1371/journal.pone.0194970,Lake Erie,USA,bottled water,3,particles/L,39.7837304,-100.445882,"Tap water, beer",Not Provided,Whatman cellulose fiber,2.5 um,Rose Bengal stain; visual,FTIR,DI procedural blanks
58,10.1371/journal.pone.0194970,Lake Ontario 1|10.1371/journal.pone.0194970,Lake Ontario,USA,bottled water,8,particles/L,39.7837304,-100.445882,"Tap water, beer",Not Provided,Whatman cellulose fiber,2.5 um,Rose Bengal stain; visual,FTIR,DI procedural blanks
59,10.1371/journal.pone.0194970,Lake Ontario 2|10.1371/journal.pone.0194970,Lake Ontario,USA,bottled water,8,particles/L,39.7837304,-100.445882,"Tap water, beer",Not Provided,Whatman cellulose fiber,2.5 um,Rose Bengal stain; visual,FTIR,DI procedural blanks
60,10.1016/j.sciotenv.2018.08.178,Nethen.1|10.1016/j.sciotenv.2018.08.178,"Nethen, Belgium",Belgium,tap water,3,particles/m3,50.6402809,4.6667145,Drinking water from ground water sources both at drinking water plant outlet and at customer households,Not Provided,Stainless steel,3 um,Stereo light microscope; FTIR Imaging,FTIR,Filtered drinking water procedural blanks; Mili-Q/Ethanol
61,10.1016/j.sciotenv.2018.08.178,Nethen.2|10.1016/j.sciotenv.2018.08.178,"Nethen, Belgium",Belgium,tap water,0,particles/m3,50.6402809,4.6667145,Drinking water from ground water sources both at drinking water plant outlet and at customer households,Not Provided,Stainless steel,3 um,Stereo light microscope; FTIR Imaging,FTIR,Filtered drinking water procedural blanks; Mili-Q/Ethanol
62,10.1016/j.sciotenv.2018.08.178,Nethen.3|10.1016/j.sciotenv.2018.08.178,"Nethen, Belgium",Belgium,tap water,1,particles/m3,50.6402809,4.6667145,Drinking water from ground water sources both at drinking water plant outlet and at customer households,Not Provided,Stainless steel,3 um,Stereo light microscope; FTIR Imaging,FTIR,Filtered drinking water procedural blanks; Mili-Q/Ethanol
63,10.1016/j.sciotenv.2018.08.178,Nethen.4|10.1016/j.sciotenv.2018.08.178,"Nethen, Belgium",Belgium,tap water,0,particles/m3,50.6402809,4.6667145,Drinking water from ground water sources both at drinking water plant outlet and at customer households,Not Provided,Stainless steel,3 um,Stereo light microscope; FTIR Imaging,FTIR,Filtered drinking water procedural blanks; Mili-Q/Ethanol
64,10.1016/j.sciotenv.2018.08.178,Holdorf.1a|10.1016/j.sciotenv.2018.08.178,"Holdorf, Germany",Germany,tap water,7,particles/m3,51.1638175,10.4478313,Drinking water from ground water sources both at drinking water plant outlet and at customer households,Not Provided,Stainless steel,3 um,Stereo light microscope; FTIR Imaging,FTIR,Filtered drinking water procedural blanks; Mili-Q/Ethanol
65,10.1016/j.sciotenv.2018.08.178,Holdorf.1b|10.1016/j.sciotenv.2018.08.178,"Holdorf, Germany",Germany,tap water,0,particles/m3,51.1638175,10.4478313,Drinking water from ground water sources both at drinking water plant outlet and at customer households,Not Provided,Stainless steel,3 um,Stereo light microscope; FTIR Imaging,FTIR,Filtered drinking water procedural blanks; Mili-Q/Ethanol
66,10.1016/j.sciotenv.2018.08.178,Holdorf.2|10.1016/j.sciotenv.2018.08.178,"Holdorf, Germany",Germany,tap water,1,particles/m3,51.1638175,10.4478313,Drinking water from ground water sources both at drinking water plant outlet and at customer households,Not Provided,Stainless steel,3 um,Stereo light microscope; FTIR Imaging,FTIR,Filtered drinking water procedural blanks; Mili-Q/Ethanol
67,10.1016/j.sciotenv.2018.08.178,Holdorf.3|10.1016/j.sciotenv.2018.08.178,"Holdorf, Germany",Germany,tap water,3,particles/m3,51.1638175,10.4478313,Drinking water from ground water sources both at drinking water plant outlet and at customer households,Not Provided,Stainless steel,3 um,Stereo light microscope; FTIR Imaging,FTIR,Filtered drinking water procedural blanks; Mili-Q/Ethanol
68,10.1016/j.sciotenv.2018.08.178,Holdorf.4|10.1016/j.sciotenv.2018.08.178,"Holdorf, Germany",Germany,tap water,0,particles/m3,51.1638175,10.4478313,Drinking water from ground water sources both at drinking water plant outlet and at customer households,Not Provided,Stainless steel,3 um,Stereo light microscope; FTIR Imaging,FTIR,Filtered drinking water procedural blanks; Mili-Q/Ethanol
69,10.1016/j.sciotenv.2018.08.178,Grossenkneten.1|10.1016/j.sciotenv.2018.08.178,"Grossenkneten, Germany",Germany,tap water,0,particles/m3,51.1638175,10.4478313,Drinking water from ground water sources both at drinking water plant outlet and at customer households,Not Provided,Stainless steel,3 um,Stereo light microscope; FTIR Imaging,FTIR,Filtered drinking water procedural blanks; Mili-Q/Ethanol
70,10.1016/j.sciotenv.2018.08.178,Grossenkneten.2|10.1016/j.sciotenv.2018.08.178,"Grossenkneten, Germany",Germany,tap water,0,particles/m3,51.1638175,10.4478313,Drinking water from ground water sources both at drinking water plant outlet and at customer households,Not Provided,Stainless steel,3 um,Stereo light microscope; FTIR Imaging,FTIR,Filtered drinking water procedural blanks; Mili-Q/Ethanol
71,10.1016/j.sciotenv.2018.08.178,Grossenkneten.3|10.1016/j.sciotenv.2018.08.178,"Grossenkneten, Germany",Germany,tap water,0,particles/m3,51.1638175,10.4478313,Drinking water from ground water sources both at drinking water plant outlet and at customer households,Not Provided,Stainless steel,3 um,Stereo light microscope; FTIR Imaging,FTIR,Filtered drinking water procedural blanks; Mili-Q/Ethanol
72,10.1016/j.sciotenv.2018.08.178,Grossenkneten.4|10.1016/j.sciotenv.2018.08.178,"Grossenkneten, Germany",Germany,tap water,0,particles/m3,51.1638175,10.4478313,Drinking water from ground water sources both at drinking water plant outlet and at customer households,Not Provided,Stainless steel,3 um,Stereo light microscope; FTIR Imaging,FTIR,Filtered drinking water procedural blanks; Mili-Q/Ethanol
73,10.1016/j.sciotenv.2018.08.178,Sandelermoens.1|10.1016/j.sciotenv.2018.08.178,"Sandelermoens, Germany",Germany,tap water,0,particles/m3,51.1638175,10.4478313,Drinking water from ground water sources both at drinking water plant outlet and at customer households,Not Provided,Stainless steel,3 um,Stereo light microscope; FTIR Imaging,FTIR,Filtered drinking water procedural blanks; Mili-Q/Ethanol
74,10.1016/j.sciotenv.2018.08.178,Sandelermoens.2|10.1016/j.sciotenv.2018.08.178,"Sandelermoens, Germany",Germany,tap water,1,particles/m3,51.1638175,10.4478313,Drinking water from ground water sources both at drinking water plant outlet and at customer households,Not Provided,Stainless steel,3 um,Stereo light microscope; FTIR Imaging,FTIR,Filtered drinking water procedural blanks; Mili-Q/Ethanol
75,10.1016/j.sciotenv.2018.08.178,Sandelermoens.3|10.1016/j.sciotenv.2018.08.178,"Sandelermoens, Germany",Germany,tap water,1,particles/m3,51.1638175,10.4478313,Drinking water from ground water sources both at drinking water plant outlet and at customer households,Not Provided,Stainless steel,3 um,Stereo light microscope; FTIR Imaging,FTIR,Filtered drinking water procedural blanks; Mili-Q/Ethanol
76,10.1016/j.sciotenv.2018.08.178,Sandelermoens.4|10.1016/j.sciotenv.2018.08.178,"Sandelermoens, Germany",Germany,tap water,0,particles/m3,51.1638175,10.4478313,Drinking water from ground water sources both at drinking water plant outlet and at customer households,Not Provided,Stainless steel,3 um,Stereo light microscope; FTIR Imaging,FTIR,Filtered drinking water procedural blanks; Mili-Q/Ethanol
77,10.1016/j.sciotenv.2018.08.178,Thuelsfelde.1|10.1016/j.sciotenv.2018.08.178,"Thuelsfelde, Germany",Germany,tap water,0,particles/m3,51.1638175,10.4478313,Drinking water from ground water sources both at drinking water plant outlet and at customer households,Not Provided,Stainless steel,3 um,Stereo light microscope; FTIR Imaging,FTIR,Filtered drinking water procedural blanks; Mili-Q/Ethanol
78,10.1016/j.sciotenv.2018.08.178,Thuelsfelde.2|10.1016/j.sciotenv.2018.08.178,"Thuelsfelde, Germany",Germany,tap water,1,particles/m3,51.1638175,10.4478313,Drinking water from ground water sources both at drinking water plant outlet and at customer households,Not Provided,Stainless steel,3 um,Stereo light microscope; FTIR Imaging,FTIR,Filtered drinking water procedural blanks; Mili-Q/Ethanol
79,10.1016/j.sciotenv.2018.08.178,Thuelsfelde.3|10.1016/j.sciotenv.2018.08.178,"Thuelsfelde, Germany",Germany,tap water,1,particles/m3,51.1638175,10.4478313,Drinking water from ground water sources both at drinking water plant outlet and at customer households,Not Provided,Stainless steel,3 um,Stereo light microscope; FTIR Imaging,FTIR,Filtered drinking water procedural blanks; Mili-Q/Ethanol
80,10.1016/j.sciotenv.2018.08.178,Thuelsfelde.4|10.1016/j.sciotenv.2018.08.178,"Thuelsfelde, Germany",Germany,tap water,0,particles/m3,51.1638175,10.4478313,Drinking water from ground water sources both at drinking water plant outlet and at customer households,Not Provided,Stainless steel,3 um,Stereo light microscope; FTIR Imaging,FTIR,Filtered drinking water procedural blanks; Mili-Q/Ethanol
81,10.1016/j.sciotenv.2018.08.178,Holdorf.Well 1|10.1016/j.sciotenv.2018.08.178,"Holdorf, Germany",Germany,tap water,2,particles/m3,51.1638175,10.4478313,Drinking water from ground water sources both at drinking water plant outlet and at customer households,Not Provided,Stainless steel,3 um,Stereo light microscope; FTIR Imaging,FTIR,Filtered drinking water procedural blanks; Mili-Q/Ethanol
82,10.1016/j.sciotenv.2018.08.178,Holdorf.Well 2|10.1016/j.sciotenv.2018.08.178,"Holdorf, Germany",Germany,tap water,0,particles/m3,51.1638175,10.4478313,Drinking water from ground water sources both at drinking water plant outlet and at customer households,Not Provided,Stainless steel,3 um,Stereo light microscope; FTIR Imaging,FTIR,Filtered drinking water procedural blanks; Mili-Q/Ethanol
83,10.1016/j.sciotenv.2018.08.178,Holdorf.Well 3|10.1016/j.sciotenv.2018.08.178,"Holdorf, Germany",Germany,tap water,0,particles/m3,51.1638175,10.4478313,Drinking water from ground water sources both at drinking water plant outlet and at customer households,Not Provided,Stainless steel,3 um,Stereo light microscope; FTIR Imaging,FTIR,Filtered drinking water procedural blanks; Mili-Q/Ethanol
84,10.1016/j.sciotenv.2018.08.102,Mineral Water.1|10.1016/j.sciotenv.2018.08.178,Czech Republic,Czech Republic,bottled water,2649,particles/L,49.7439047,15.3381061,Tap water,Wet peroxide oxidation,Polytetraflouroethylene (PTFE) membrane filters,0.2 um; 5 um,SEM,FTIR,HPLC grade water procedural blanks
85,10.1016/j.sciotenv.2018.08.102,Mineral Water.2|10.1016/j.sciotenv.2018.08.178,Czech Republic,Czech Republic,bottled water,4889,particles/L,49.7439047,15.3381061,Tap water,Wet peroxide oxidation,Polytetraflouroethylene (PTFE) membrane filters,0.2 um; 5 um,SEM,FTIR,HPLC grade water procedural blanks
86,10.1016/j.sciotenv.2018.08.102,Mineral Water.3|10.1016/j.sciotenv.2018.08.178,Czech Republic,Czech Republic,bottled water,6292,particles/L,49.7439047,15.3381061,Tap water,Wet peroxide oxidation,Polytetraflouroethylene (PTFE) membrane filters,0.2 um; 5 um,SEM,FTIR,HPLC grade water procedural blanks
